Time,Weather,Wind
2018/1/1,0,8
2018/1/2,0,8
2018/1/3,0,8
2018/1/4,1,8
2018/1/5,0,0
2018/1/6,1,0
2018/1/7,1,8
2018/1/8,1,0
2018/1/9,1,8
2018/1/10,0,8
2018/1/11,0,6
2018/1/12,0,0
2018/1/13,0,8
2018/1/14,0,0
2018/1/15,0,6
2018/1/16,0,0
2018/1/17,0,0
2018/1/18,0,0
2018/1/19,0,0
2018/1/20,0,0
2018/1/21,0,8
2018/1/22,0,0
2018/1/23,0,0
2018/1/24,0,10
2018/1/25,0,8
2018/1/26,0,6
2018/1/27,1,10
2018/1/28,1,8
2018/1/29,1,8
2018/1/30,1,0
2018/1/31,1,10
2018/2/1,0,0
2018/2/2,0,8
2018/2/3,0,6
2018/2/4,0,8
2018/2/5,0,6
2018/2/6,0,0
2018/2/7,0,0
2018/2/8,0,0
2018/2/9,0,6
2018/2/10,0,0
2018/2/11,0,0
2018/2/12,0,0
2018/2/13,0,6
2018/2/14,0,0
2018/2/15,0,0
2018/2/16,0,0
2018/2/17,0,8
2018/2/18,0,6
2018/2/19,0,0
2018/2/20,0,0
2018/2/21,1,6
2018/2/22,0,6
2018/2/23,0,8
2018/2/24,0,0
2018/2/25,0,0
2018/2/26,0,6
2018/2/27,0,8
2018/2/28,0,0
2018/3/1,0,0
2018/3/2,0,0
2018/3/3,0,0
2018/3/4,1,0
2018/3/5,0,0
2018/3/6,0,8
2018/3/7,1,6
2018/3/8,1,8
2018/3/9,0,0
2018/3/10,0,6
2018/3/11,0,6
2018/3/12,0,0
2018/3/13,1,0
2018/3/14,1,0
2018/3/15,1,0
2018/3/16,0,0
2018/3/17,0,8
2018/3/18,0,6
2018/3/19,2,0
2018/3/20,0,0
2018/3/21,0,6
2018/3/22,0,0
2018/3/23,0,0
2018/3/24,0,6
2018/3/25,0,6
2018/3/26,0,0
2018/3/27,0,0
2018/3/28,0,0
2018/3/29,0,0
2018/3/30,0,0
2018/3/31,0,6
2018/4/1,0,0
2018/4/2,0,0
2018/4/3,0,0
2018/4/4,0,0
2018/4/5,0,0
2018/4/6,1,8
2018/4/7,1,6
2018/4/8,0,8
2018/4/9,0,0
2018/4/10,0,0
2018/4/11,0,0
2018/4/12,0,0
2018/4/13,1,0
2018/4/14,1,0
2018/4/15,1,8
2018/4/16,2,0
2018/4/17,0,0
2018/4/18,0,0
2018/4/19,1,6
2018/4/20,1,8
2018/4/21,0,0
2018/4/22,1,0
2018/4/23,1,0
2018/4/24,1,0
2018/4/25,0,8
2018/4/26,1,6
2018/4/27,1,0
2018/4/28,0,0
2018/4/29,0,0
2018/4/30,0,0
2018/5/1,0,0
2018/5/2,0,0
2018/5/3,1,6
2018/5/4,1,8
2018/5/5,1,0
2018/5/6,2,0
2018/5/7,2,0
2018/5/8,1,0
2018/5/9,2,8
2018/5/10,2,10
2018/5/11,0,6
2018/5/12,0,0
2018/5/13,0,0
2018/5/14,0,0
2018/5/15,0,0
2018/5/16,0,0
2018/5/17,0,0
2018/5/18,0,0
2018/5/19,0,0
2018/5/20,0,0
2018/5/21,0,0
2018/5/22,0,0
2018/5/23,0,0
2018/5/24,0,0
2018/5/25,0,0
2018/5/26,0,0
2018/5/27,0,0
2018/5/28,0,0
2018/5/29,0,0
2018/5/30,0,0
2018/5/31,0,0
2018/6/1,1,0
2018/6/2,1,6
2018/6/3,0,6
2018/6/4,2,8
2018/6/5,2,6
2018/6/6,2,8
2018/6/7,2,8
2018/6/8,2,10
2018/6/9,1,6
2018/6/10,0,0
2018/6/11,1,0
2018/6/12,2,0
2018/6/13,2,0
2018/6/14,1,0
2018/6/15,1,0
2018/6/16,0,8
2018/6/17,1,8
2018/6/18,1,6
2018/6/19,1,6
2018/6/20,1,6
2018/6/21,1,0
2018/6/22,2,0
2018/6/23,2,0
2018/6/24,1,6
2018/6/25,0,0
2018/6/26,0,0
2018/6/27,0,0
2018/6/28,0,0
2018/6/29,0,8
2018/6/30,0,6
2018/7/1,1,6
2018/7/2,1,8
2018/7/3,1,8
2018/7/4,0,0
2018/7/5,1,8
2018/7/6,1,0
2018/7/7,1,0
2018/7/8,2,6
2018/7/9,1,8
2018/7/10,0,6
2018/7/11,0,0
2018/7/12,2,0
2018/7/13,2,6
2018/7/14,2,8
2018/7/15,2,10
2018/7/16,0,8
2018/7/17,2,6
2018/7/18,1,10
2018/7/19,1,8
2018/7/20,0,0
2018/7/21,0,0
2018/7/22,1,0
2018/7/23,2,6
2018/7/24,2,0
2018/7/25,1,0
2018/7/26,1,0
2018/7/27,1,0
2018/7/28,0,0
2018/7/29,0,0
2018/7/30,1,0
2018/7/31,0,0
2018/8/1,0,0
2018/8/2,1,0
2018/8/3,1,0
2018/8/4,0,0
2018/8/5,0,0
2018/8/6,1,0
2018/8/7,0,0
2018/8/8,0,6
2018/8/9,2,8
2018/8/10,2,6
2018/8/11,2,0
2018/8/12,2,8
2018/8/13,2,10
2018/8/14,2,8
2018/8/15,2,8
2018/8/16,2,0
2018/8/17,2,0
2018/8/18,2,0
2018/8/19,1,0
2018/8/20,1,0
2018/8/21,2,0
2018/8/22,1,0
2018/8/23,1,0
2018/8/24,2,0
2018/8/25,0,0
2018/8/26,1,0
2018/8/27,1,0
2018/8/28,2,6
2018/8/29,2,6
2018/8/30,2,6
2018/8/31,2,0
2018/9/1,1,0
2018/9/2,1,0
2018/9/3,1,0
2018/9/4,1,0
2018/9/5,1,0
2018/9/6,0,0
2018/9/7,1,0
2018/9/8,1,8
2018/9/9,1,0
2018/9/10,0,0
2018/9/11,0,0
2018/9/12,1,10
2018/9/13,1,6
2018/9/14,0,0
2018/9/15,2,8
2018/9/16,2,16
2018/9/17,2,10
2018/9/18,1,0
2018/9/19,0,0
2018/9/20,0,0
2018/9/21,0,0
2018/9/22,0,0
2018/9/23,0,0
2018/9/24,1,0
2018/9/25,1,0
2018/9/26,0,0
2018/9/27,0,0
2018/9/28,0,0
2018/9/29,0,0
2018/9/30,0,0
2018/10/1,0,0
2018/10/2,0,0
2018/10/3,0,0
2018/10/4,0,0
2018/10/5,0,0
2018/10/6,0,0
2018/10/7,0,0
2018/10/8,0,0
2018/10/9,0,0
2018/10/10,0,0
2018/10/11,0,0
2018/10/12,0,6
2018/10/13,1,6
2018/10/14,1,8
2018/10/15,1,6
2018/10/16,1,0
2018/10/17,0,0
2018/10/18,1,8
2018/10/19,0,10
2018/10/20,0,8
2018/10/21,0,8
2018/10/22,0,0
2018/10/23,0,0
2018/10/24,0,6
2018/10/25,0,0
2018/10/26,1,0
2018/10/27,0,0
2018/10/28,0,0
2018/10/29,0,0
2018/10/30,0,6
2018/10/31,0,8
2018/11/1,1,10
2018/11/2,0,6
2018/11/3,0,0
2018/11/4,0,8
2018/11/5,0,0
2018/11/6,0,0
2018/11/7,0,0
2018/11/8,0,0
2018/11/9,0,8
2018/11/10,0,8
2018/11/11,0,6
2018/11/12,0,0
2018/11/13,0,6
2018/11/14,0,8
2018/11/15,0,8
2018/11/16,1,6
2018/11/17,1,8
2018/11/18,1,6
2018/11/19,1,0
2018/11/20,0,8
2018/11/21,1,5
2018/11/22,0,5
2018/11/23,0,5
2018/11/24,0,5
2018/11/25,1,5
2018/11/26,0,5
2018/11/27,1,5
2018/11/28,0,3
2018/11/29,0,5
2018/11/30,0,5
2018/12/1,0,3
2018/12/2,1,5
2018/12/3,0,3
2018/12/4,0,3
2018/12/5,1,5
2018/12/6,0,5
2018/12/7,1,5
2018/12/8,0,5
2018/12/9,0,5
2018/12/10,0,5
2018/12/11,0,5
2018/12/12,0,5
2018/12/13,0,5
2018/12/14,0,5
2018/12/15,0,5
2018/12/16,0,5
2018/12/17,0,5
2018/12/18,0,5
2018/12/19,0,5
2018/12/20,0,5
2018/12/21,0,5
2018/12/22,0,5
2018/12/23,1,5
2018/12/24,1,5
2018/12/25,0,3
2018/12/26,0,3
2018/12/27,0,5
2018/12/28,0,7
2018/12/29,0,7
2018/12/30,0,5
2018/12/31,0,5
2017/1/1,0,6
2017/1/2,0,0
2017/1/3,0,8
2017/1/4,0,0
2017/1/5,0,0
2017/1/6,0,0
2017/1/7,0,0
2017/1/8,0,0
2017/1/9,0,0
2017/1/10,0,8
2017/1/11,0,6
2017/1/12,1,0
2017/1/13,1,0
2017/1/14,1,6
2017/1/15,1,6
2017/1/16,1,8
2017/1/17,1,6
2017/1/18,0,0
2017/1/19,0,0
2017/1/20,0,6
2017/1/21,0,0
2017/1/22,0,0
2017/1/23,0,6
2017/1/24,1,8
2017/1/25,0,0
2017/1/26,0,0
2017/1/27,0,0
2017/1/28,1,6
2017/1/29,1,8
2017/1/30,1,0
2017/1/31,0,0
2017/2/1,0,0
2017/2/2,0,6
2017/2/3,0,10
2017/2/4,2,0
2017/2/5,0,0
2017/2/6,0,8
2017/2/7,1,10
2017/2/8,0,0
2017/2/9,0,10
2017/2/10,0,0
2017/2/11,0,0
2017/2/12,0,0
2017/2/13,0,6
2017/2/14,0,8
2017/2/15,0,6
2017/2/16,0,0
2017/2/17,0,0
2017/2/18,0,0
2017/2/19,0,8
2017/2/20,0,0
2017/2/21,2,10
2017/2/22,1,0
2017/2/23,0,6
2017/2/24,1,6
2017/2/25,0,6
2017/2/26,0,0
2017/2/27,0,8
2017/2/28,0,6
2017/3/1,0,0
2017/3/2,0,0
2017/3/3,0,6
2017/3/4,0,6
2017/3/5,1,0
2017/3/6,0,0
2017/3/7,0,8
2017/3/8,1,0
2017/3/9,1,8
2017/3/10,1,0
2017/3/11,1,6
2017/3/12,0,0
2017/3/13,1,0
2017/3/14,0,6
2017/3/15,0,6
2017/3/16,1,8
2017/3/17,1,8
2017/3/18,1,8
2017/3/19,1,8
2017/3/20,0,0
2017/3/21,1,6
2017/3/22,2,8
2017/3/23,1,0
2017/3/24,1,6
2017/3/25,0,6
2017/3/26,1,6
2017/3/27,0,10
2017/3/28,0,6
2017/3/29,1,6
2017/3/30,1,0
2017/3/31,2,8
2017/4/1,0,0
2017/4/2,0,8
2017/4/3,0,8
2017/4/4,0,8
2017/4/5,0,0
2017/4/6,1,0
2017/4/7,0,0
2017/4/8,0,0
2017/4/9,1,0
2017/4/10,1,8
2017/4/11,1,0
2017/4/12,2,0
2017/4/13,0,6
2017/4/14,0,0
2017/4/15,0,0
2017/4/16,0,0
2017/4/17,0,0
2017/4/18,0,0
2017/4/19,1,0
2017/4/20,2,0
2017/4/21,2,0
2017/4/22,1,0
2017/4/23,1,8
2017/4/24,2,8
2017/4/25,2,0
2017/4/26,2,0
2017/4/27,1,6
2017/4/28,0,0
2017/4/29,0,0
2017/4/30,0,0
2017/5/1,0,0
2017/5/2,0,0
2017/5/3,1,0
2017/5/4,2,0
2017/5/5,2,0
2017/5/6,1,0
2017/5/7,0,6
2017/5/8,1,0
2017/5/9,1,0
2017/5/10,1,0
2017/5/11,0,0
2017/5/12,1,0
2017/5/13,2,0
2017/5/14,1,0
2017/5/15,2,6
2017/5/16,0,0
2017/5/17,0,0
2017/5/18,1,8
2017/5/19,2,6
2017/5/20,1,8
2017/5/21,2,10
2017/5/22,2,8
2017/5/23,1,0
2017/5/24,2,0
2017/5/25,0,0
2017/5/26,1,6
2017/5/27,0,0
2017/5/28,0,0
2017/5/29,1,8
2017/5/30,0,0
2017/5/31,1,0
2017/6/1,1,8
2017/6/2,2,6
2017/6/3,2,6
2017/6/4,1,0
2017/6/5,1,0
2017/6/6,1,0
2017/6/7,1,0
2017/6/8,1,0
2017/6/9,0,6
2017/6/10,1,0
2017/6/11,0,0
2017/6/12,2,8
2017/6/13,2,8
2017/6/14,2,0
2017/6/15,2,8
2017/6/16,2,8
2017/6/17,2,0
2017/6/18,2,0
2017/6/19,2,8
2017/6/20,2,6
2017/6/21,2,8
2017/6/22,1,6
2017/6/23,1,6
2017/6/24,1,6
2017/6/25,1,6
2017/6/26,1,8
2017/6/27,0,0
2017/6/28,0,0
2017/6/29,1,0
2017/6/30,1,0
2017/7/1,0,0
2017/7/2,2,0
2017/7/3,2,6
2017/7/4,2,0
2017/7/5,1,0
2017/7/6,2,6
2017/7/7,2,6
2017/7/8,2,0
2017/7/9,1,0
2017/7/10,1,2
2017/7/11,1,0
2017/7/12,1,0
2017/7/13,1,0
2017/7/14,1,6
2017/7/15,2,0
2017/7/16,2,8
2017/7/17,2,0
2017/7/18,2,6
2017/7/19,1,0
2017/7/20,2,6
2017/7/21,2,6
2017/7/22,1,6
2017/7/23,2,10
2017/7/24,1,0
2017/7/25,1,0
2017/7/26,0,6
2017/7/27,0,6
2017/7/28,1,8
2017/7/29,0,0
2017/7/30,0,6
2017/7/31,1,8
2017/8/1,0,0
2017/8/2,2,0
2017/8/3,1,0
2017/8/4,2,0
2017/8/5,1,0
2017/8/6,1,0
2017/8/7,1,0
2017/8/8,1,6
2017/8/9,1,8
2017/8/10,2,6
2017/8/11,1,6
2017/8/12,0,6
2017/8/13,0,0
2017/8/14,0,8
2017/8/15,1,0
2017/8/16,0,0
2017/8/17,0,0
2017/8/18,0,0
2017/8/19,1,0
2017/8/20,0,0
2017/8/21,1,0
2017/8/22,2,0
2017/8/23,2,14
2017/8/24,2,8
2017/8/25,2,0
2017/8/26,2,6
2017/8/27,2,12
2017/8/28,2,0
2017/8/29,1,0
2017/8/30,1,0
2017/8/31,0,0
2017/9/1,2,0
2017/9/2,2,0
2017/9/3,2,10
2017/9/4,2,6
2017/9/5,1,0
2017/9/6,1,0
2017/9/7,1,0
2017/9/8,1,0
2017/9/9,1,0
2017/9/10,0,0
2017/9/11,0,0
2017/9/12,1,0
2017/9/13,0,0
2017/9/14,1,8
2017/9/15,0,0
2017/9/16,0,0
2017/9/17,0,0
2017/9/18,0,0
2017/9/19,1,0
2017/9/20,1,0
2017/9/21,1,0
2017/9/22,0,0
2017/9/23,1,0
2017/9/24,2,10
2017/9/25,1,0
2017/9/26,0,0
2017/9/27,0,0
2017/9/28,0,0
2017/9/29,1,0
2017/9/30,1,6
2017/10/1,1,0
2017/10/2,1,0
2017/10/3,1,6
2017/10/4,1,8
2017/10/5,2,8
2017/10/6,0,6
2017/10/7,0,8
2017/10/8,0,6
2017/10/9,1,8
2017/10/10,0,10
2017/10/11,0,0
2017/10/12,0,0
2017/10/13,0,6
2017/10/14,2,10
2017/10/15,2,14
2017/10/16,2,8
2017/10/17,1,6
2017/10/18,0,0
2017/10/19,0,6
2017/10/20,0,0
2017/10/21,0,6
2017/10/22,0,0
2017/10/23,0,8
2017/10/24,0,0
2017/10/25,0,0
2017/10/26,0,0
2017/10/27,0,0
2017/10/28,0,0
2017/10/29,0,8
2017/10/30,0,0
2017/10/31,0,0
2017/11/1,0,0
2017/11/2,0,0
2017/11/3,0,8
2017/11/4,0,10
2017/11/5,1,6
2017/11/6,1,0
2017/11/7,1,0
2017/11/8,0,0
2017/11/9,0,8
2017/11/10,0,0
2017/11/11,0,8
2017/11/12,1,10
2017/11/13,0,6
2017/11/14,0,0
2017/11/15,0,6
2017/11/16,0,6
2017/11/17,0,0
2017/11/18,1,8
2017/11/19,1,8
2017/11/20,0,8
2017/11/21,0,0
2017/11/22,0,8
2017/11/23,0,6
2017/11/24,1,0
2017/11/25,1,6
2017/11/26,0,0
2017/11/27,0,10
2017/11/28,0,8
2017/11/29,0,0
2017/11/30,0,0
2017/12/1,0,0
2017/12/2,0,0
2017/12/3,0,0
2017/12/4,0,0
2017/12/5,0,0
2017/12/6,0,6
2017/12/7,0,0
2017/12/8,0,8
2017/12/9,0,0
2017/12/10,0,0
2017/12/11,0,0
2017/12/12,0,8
2017/12/13,0,0
2017/12/14,0,6
2017/12/15,0,0
2017/12/16,0,0
2017/12/17,0,8
2017/12/18,0,10
2017/12/19,0,8
2017/12/20,0,8
2017/12/21,0,6
2017/12/22,0,6
2017/12/23,0,0
2017/12/24,0,6
2017/12/25,0,8
2017/12/26,0,0
2017/12/27,0,8
2017/12/28,0,0
2017/12/29,0,0
2017/12/30,0,0
2017/12/31,0,8